STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/12/2001,0,26.7,32.8,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/13/2001,0,28.9,33.9,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/14/2001,1,26.7,33.3,20
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/15/2001,41.7,24.4,30,18.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/16/2001,0,26.7,32.8,20
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/17/2001,0,25.6,32.2,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/18/2001,0,25.6,32.2,18.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/19/2001,0,26.7,32.2,21.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/20/2001,0,26.7,31.7,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/21/2001,15,26.7,32.8,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/22/2001,0,25.6,30.6,20
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/23/2001,0,23.9,30,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/24/2001,0,23.9,31.1,16.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/25/2001,0,24.4,30.6,17.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/26/2001,0,25.6,31.7,19.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/27/2001,0,26.7,32.2,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/28/2001,0,-17.8,31.7,22.2
